fps,bitrate
1,294624
2,433760
3,600080
4,880168
5,1004944
6,1153424
7,1394608
8,1530832
9,1679080
10,1914464
11,2066256
12,2255608
13,2538584
14,2663784
15,2843568
16,3110552
17,3297080
18,3549664
19,3860952
20,4001776
21,4199048
22,4470904
23,4616456
24,4825112
24,4803288
24,4805864
24,4835856
24,4813216
24,4843976
24,4900744
24,4931328
24,4935768
24,5004552
24,5045472
24,5036840
24,5040752
24,5007224
24,5047584
24,5065968
24,5063768
24,5036232
24,4972600
24,4899392
24,4917032
24,4884880
24,4859440
24,4877200
24,4847192
24,4803808
24,4824160
24,4809504
24,4812104
24,4818128
24,4789800
24,4756504
24,4783480
24,4741528
24,4717488
24,4733544
24,4725064
24,4712472
24,4703960
24,4680824
24,4661000
24,4671248
24,4670064
24,4698968
24,4716224
24,4750896
24,4764856
24,4778016
24,4789040
24,4808312
24,4803496
24,4797456
24,4747600
24,4743368
24,4743304
24,4748456
24,4727616
24,4708600
24,4668976
24,4649712
24,4633528
24,4616504
24,4614664
24,4620192
24,4617152
24,4602336
24,4590808
24,4543352
24,4518864
24,4491496
24,4462256
24,4436504
24,4417616
24,4379096
24,4379584
24,4379504
24,4393184
24,4374440
24,4359400
24,4305152
24,4287328
24,4279272
24,4289536
24,4272880
24,4245408
24,4226024
24,4200016
24,4173744
24,4132784
24,4111984
24,4093576
24,4085032
24,4083072
24,4082168
24,4066624
24,4068272
24,4069936
24,4093056
24,4095592
24,4099728
24,4087432
24,4105656
24,4115888
24,4147272
24,4157768
24,4170688
24,4137944
24,4149320
24,4164104
24,4192232
24,4185704
24,4165152
24,4142040
24,4142376
24,4135296
24,4116112
24,4101920
24,4092056
24,4085800
24,4061088
24,4045040
24,4014440
24,3952288
21,3393568
21,3363000
21,3349296
21,3334896
21,3343960
21,3333744
21,3332720
21,3290984
21,3303744
21,3327792
21,3388040
21,3388144
21,3398304
21,3415864
21,3427896
21,3432752
21,3426672
21,3430904
21,3426888
21,3413656
21,3423904
22,3545264
23,3714616
24,3823320
24,3783128
24,3753752
24,3734856
24,3706008
24,3653024
24,3633640
24,3599128
24,3571520
24,3544512
24,3511704
24,3449448
24,3447280
24,3443032
24,3452840
24,3440912
24,3426104
24,3419992
24,3439864
24,3436352
24,3435552
24,3447368
24,3483752
24,3490760
24,3505952
24,3535880
24,3581888
24,3600488
24,3634264
24,3698936
24,3749232
24,3804824
24,3860584
24,3895704
24,3943752
24,3980152
24,3983912
24,3991024
24,3983336
24,3996464
24,4017096
24,4069864
24,4069360
24,4094560
24,4128632
24,4179992
24,4180992
24,4211472
24,4214688
24,4228888
24,4200744
24,4194880
24,4182880
24,4160336
24,4136600
24,4103056
24,4068160
24,4047408
24,4021888
24,3991432
24,3984080
24,3971704
